property_id,city,locality,property_type,area,price,bedrooms,bathrooms,listing_date,latitude,longitude,price_per_sqft,url_hash
df152271-2670-4f95-882a-0f5b926fb0b0,Lahore,Gulberg,house,3689.98,104042819.41,4,3,2025-08-14,31.367604922444126,74.24109716896618,28196.04,7456d0cda964
ea8c5021-15ae-4769-b618-34bcf1e3a301,Lahore,DHA Phase 1,plot,3255.53,69717024.55,,,2024-12-09,31.450166588856337,74.28241130318791,21414.95,bee1944aab4c
d0819942-4e28-43c0-bce8-593ff96a84aa,Karachi,PECHS,house,1608.79,27276974.54,4,3,2025-10-21,24.855610596353987,67.13809123840717,16954.96,df5a1b3a2245
0b9ec8cd-9801-4afe-882f-7c33720be6e6,Karachi,Federal B Area,plot,2652.53,24658454.28,,,2026-03-25,24.804601564922145,67.04667901500795,9296.2,23c5e5dc9d3f
4b87b8b5-03e6-4107-a74e-aa8e04c22e47,Karachi,DHA Phase 8,apartment,1307.29,27297222.65,4,1,2025-01-27,24.9414254918226,66.99647456270957,20880.77,a6fca200ce2c
17bbbf74-d450-4028-94ae-cd9aa3d65b7c,Islamabad,F-8,house,1748.31,49703989.4,2,2,2024-07-16,33.76712127325138,73.24468132116041,28429.73,44067c18f943
697481ea-d955-44cf-9de3-70b4bc1c13d2,Islamabad,PWD Housing Society,apartment,860.19,12434365.02,1,2,2023-05-25,33.855852737123456,72.90207733076987,14455.37,f3b9f801d47f
de34cc27-352f-4c4a-ba25-f44b0df79f19,Karachi,DHA Phase 5,apartment,1209.97,25877987.89,4,2,2023-10-31,24.84466277712684,66.89648905080423,21387.3,db895f8a2e39
5668cda6-7686-44c4-aee4-7d189f6031c4,Karachi,Korangi,house,3712.63,37559309.29,7,6,2023-11-07,24.874454113382228,66.93804620766268,10116.63,b35c1297ab86
14eec962-8fc0-4f26-8b0a-4144a8da5cbd,Karachi,DHA Phase 5,apartment,1238.29,28966148.16,2,2,2023-12-21,24.930719478628237,67.16982088051842,23392.06,eec967de88fd
f092bc13-53e8-4253-9a54-9572b9357d28,Lahore,Cantt,apartment,1509.1,31307610.8,2,2,2025-12-01,31.412863954294238,74.25607470201476,20745.88,6c3fb8c37caf
4553d0e7-51d6-4a5e-8bfc-a1448e4ece73,Islamabad,E-11,house,1682.41,27027407.5,3,1,2025-12-04,33.728917847506715,73.22040298861371,16064.7,717081d44229
0f983eff-97c6-4eb3-9cf6-2458485fc8df,Lahore,Iqbal Town,house,3772.06,45845094.58,5,5,2023-06-25,31.646861541010047,74.45663174521484,12153.86,a04bf2fb46af
5451d178-0935-4c51-9fb8-e9af5de37d32,Lahore,Wapda Town,house,2642.47,35551102.21,4,4,2023-12-25,31.474031777009294,74.36409630380247,13453.74,7971ab17c6e9
391fea78-d19b-4da3-bac0-2bf35476e593,Islamabad,G-7,house,1865.71,42306427.22,4,4,2023-10-04,33.66153900616583,72.99000754975316,22675.78,14b4f7bfefb0
c74edca6-51ee-4c98-b9c9-5ac2f7a6ccd3,Karachi,Clifton,house,3366.92,93843263.49,6,5,2024-12-25,24.904220626023392,66.87977345231656,27872.14,e4720c7a4109
dfe1e93a-b6a2-41a5-9c09-eef5b9d213ad,Karachi,Clifton,house,2064.62,61458871.17,4,2,2023-09-04,24.665717693299104,66.97607705749242,29767.64,741c8e2f7959
7798caef-7824-45c9-b5fb-8b4b2c705c04,Lahore,Gulberg,plot,1768.94,50881475.24,,,2024-05-14,31.364091344545212,74.51279829808213,28763.82,d47040407375
3e03d815-b711-46b3-a2a4-f1524c17ea84,Lahore,Askari 10,house,2214.28,34662180.31,5,4,2023-10-14,31.543085614605392,74.46784506533925,15653.93,fce501779a94
2cebb2e8-a06a-4934-a365-f433fbf410fd,Islamabad,F-7,house,3968.96,111048133.44,4,6,2023-06-03,33.77461926169065,72.85901990994037,27979.15,04f07e80033b
f3a7c9c9-70d6-4d75-a50b-c51b5d3d542c,Karachi,Bahria Town Karachi,house,3722.5,57106170.35,5,6,2023-09-21,24.673506203864985,67.10953784394209,15340.81,d57e91bb9c34
47dd9951-1b1f-4014-8337-a35776c262e1,Islamabad,G-6,house,2676.9,65026954.62,3,2,2026-03-02,33.785959995700544,72.87223663613486,24291.89,4545b276f000
ff812052-9a3a-4d78-8759-bed53da79eba,Islamabad,DHA Phase 2,apartment,1499.38,30915313.47,3,2,2023-07-23,33.6692816990578,73.01062403035883,20618.73,e6e7f5138334
0687c9c2-cc2e-43dd-8d33-0dea62190c4c,Karachi,North Nazimabad,house,2006.59,21963077.01,5,4,2024-11-08,24.791469798864547,66.99403620301527,10945.47,05dcdb751f2e
c6ad08c2-030e-4321-bddf-8e7fd182a86c,Lahore,Cantt,apartment,1151.59,26960646.42,2,3,2023-08-20,31.332906625849493,74.354991908823,23411.67,e5e83eb47095
5a727b55-c584-4efb-984a-7ac472a1c980,Karachi,Bahria Town Karachi,apartment,1427.39,24466033.98,4,1,2025-05-29,24.933018616732358,67.19537570796042,17140.4,c643bf64b5bc
c960c40f-5d18-440e-9182-9a0f0b2d842d,Lahore,Paragon City,house,2604.57,36036773.45,5,2,2024-01-09,31.57854997013392,74.33817784364294,13835.98,a9d16fc11025
46f468ca-2e60-45ae-8869-87add0468d30,Islamabad,F-8,apartment,1464.83,43476903.0,2,1,2025-11-18,33.585955337054926,73.13034152887757,29680.51,24575170525a
f30102b0-1db4-48a4-9d96-f91f57220d49,Lahore,Lake City,house,2173.25,30884229.07,5,4,2025-07-12,31.512983314000348,74.49305019586645,14211.08,ba8489c29d77
425aeac1-3587-46c1-b14c-46bd4ed7f3b2,Islamabad,DHA Phase 2,commercial,3487.17,69344148.07,,,2024-10-11,33.618341854292225,73.166760991775,19885.51,429f30f138d7
1c3cec21-8fa0-41f8-b469-e7309bf5b10a,Karachi,DHA Phase 6,house,3927.29,81533474.41,4,6,2025-12-13,24.848717395611153,66.9972312154408,20760.75,53e6d6784788
b722c01c-a51d-4fe5-a309-f70720562ab9,Karachi,North Nazimabad,apartment,1537.49,20155001.0,3,3,2023-12-25,24.864621017323362,66.93193049498848,13109.03,2205b4e392ac
6a142d99-c974-473a-8e47-dcb5414f0793,Islamabad,G-7,house,3023.42,57522408.7,5,6,2023-06-08,33.54101753746139,73.01781107294833,19025.61,47b4263ce892
5c945594-b2de-49c1-b701-3c7932ec61d5,Karachi,Bahria Town Karachi,plot,3236.37,57209876.05,,,2024-05-11,24.819984196223825,66.97905162913726,17677.17,4ed16ad91999
57632d9c-03bc-4f84-bf7c-05ace66e90a1,Karachi,Federal B Area,house,2719.15,26514420.5,5,4,2023-08-10,24.695063123507612,66.99500212816486,9751.0,9a1c150e3c22
da5a8f51-3b6d-4935-9a46-1d009a5afe14,Karachi,Korangi,house,2484.83,19648049.51,5,4,2023-10-03,24.9826141534639,66.84356217775716,7907.2,80d1351a8a46
2aeb7f14-c24a-4cfa-95db-ba17686feaa4,Karachi,DHA Phase 5,plot,1800.2,37121036.71,,,2026-02-18,24.762161460106242,66.85393652578036,20620.51,fb6aadcc1673
6b0da3e5-c9bf-4c7a-ab39-e6a932720804,Karachi,DHA Phase 6,plot,4827.2,113128269.86,,,2023-08-23,24.869968367849374,67.14973968384209,23435.59,2abcc3a81294
2fcf2cde-5edc-48ef-aed3-c881d72208b5,Lahore,Wapda Town,house,1574.41,17540764.25,4,3,2023-08-29,31.59910054538339,74.18553996535627,11141.17,3c53ba419702
d44369a8-c6aa-4bb4-9d70-eeadcf56f1d6,Karachi,DHA Phase 6,apartment,624.9,13930089.37,1,2,2024-04-23,24.832385728897073,67.18400735801931,22291.71,1dec0d2c6c83
886f03a4-dd58-43d7-8739-ecf9d845431b,Islamabad,G-7,house,2234.51,42310207.88,5,3,2024-11-29,33.57521564890923,72.90685071232106,18934.89,9fec07adc816
99a54034-af07-4bea-ab8d-e7db8fdb7d72,Islamabad,PWD Housing Society,house,3003.43,36714317.28,4,3,2023-12-19,33.65221320509091,73.1165391835305,12224.13,7fccb2214f21
7829b6a6-5881-43de-a140-0eecb8feac3c,Karachi,Malir Cantt,apartment,738.05,10872526.89,2,1,2025-09-20,24.844581003401952,67.16720830827967,14731.42,06f611bdf6e0
6ebe946b-72dc-4517-9d43-005f02f9f5ac,Karachi,PECHS,house,3699.59,56071139.73,6,6,2024-10-22,24.7965770258221,67.02870793986142,15156.04,aad8e7457367
6bc4878c-58df-4ed1-9e8a-ccb94a7183ea,Karachi,Federal B Area,plot,1981.36,21580023.28,,,2024-04-24,25.00701692070371,67.13208682323257,10891.52,57225260f38c
35805006-d988-4de9-918c-26b458ca355c,Islamabad,F-7,house,2686.68,75081451.39,5,4,2025-09-16,33.749145887195844,72.86905375735311,27945.81,8bfe9ffa8da0
8cf06606-2a6b-48df-9525-183a1f3d1a71,Karachi,DHA Phase 5,plot,2920.79,60736504.44,,,2024-01-10,24.744025537870364,67.00338331578885,20794.55,3ee99e216efb
23035ac8-b84d-4ddb-acc9-cfb9390b48c0,Karachi,PECHS,house,3616.68,46859488.26,7,4,2024-09-06,24.749602218286178,67.0340767460345,12956.49,a3503a18364c
d7790e5b-4488-42d6-9c87-3cdc84c08975,Islamabad,G-9,house,2246.35,39042087.87,5,4,2025-07-30,33.80064562289601,72.85150449096483,17380.23,c3ca49cc096d
